symbol,security,country,gics_sector,gics_sub_industry
AMRK,A-Mark Precious Metals,United States,Industrials,Other Specialty Stores
AMRS,Amyris,United States,Industrials,Major Chemicals
AMRX,Amneal Pharmaceuticals,,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services,United States,Health Care,Medical Specialities
AMSC,American Superconductor Corporation,United States,Industrials,Office Equipment/Supplies/Services
AMSF,AMERISAFE,United States,Finance,Property-Casualty Insurers
AMST,Amesite,United States,Technology,Computer Software: Prepackaged Software
AMSWA,American Software,United States,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT),United States,Real Estate,Real Estate Investment Trusts
AMTB,Amerant Bancorp,United States,Finance,Major Banks
AMTI,Applied Molecular Transport,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMTX,Aemetis (DE),United States,Industrials,Major Chemicals
AMWD,American Woodmark Corporation,United States,Basic Materials,Forest Products
AMWL,American Well Corporation,United States,Technology,Retail: Computer Software & Peripheral Equipment
AMZN,Amazon.com,United States,Consumer Discretionary,Catalog/Specialty Distribution
AN,AutoNation,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,AnaptysBio,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons (The),United States,Industrials,Farming/Seeds/Milling
ANEB,Anebulo Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks,United States,Technology,Computer peripheral equipment
ANF,Abercrombie & Fitch Company,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANGI,Angi,United States,Technology,EDP Services
ANGO,AngioDynamics,United States,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics,United States,Health Care,Medical/Dental Instruments
ANIX,Anixa Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANNX,Annexon,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANSS,ANSYS,United States,,
ANTX,AN2 Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,Annovis Bio,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANZU,Anzu Special Acquisition Corp I,United States,Finance,Blank Checks
AOGO,Arogo Capital Acquisition Corp.,United States,Technology,Computer Software: Prepackaged Software
AOMR,Angel Oak Mortgage REIT,United States,Real Estate,Real Estate Investment Trusts
AON,Aon,United States,Financials,Insurance Brokers
AORT,Artivion,United States,Health Care,Medical/Dental Instruments
AOS,A.O. Smith Corporation,United States,Consumer Discretionary,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation,United States,Industrials,Fluid Controls
APA,APA Corporation,United States,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management,United States,Finance,Investment Managers
APCX,AppTech Payments Corp.,United States,Finance,Finance: Consumer Services
APD,Air Products and Chemicals,United States,Industrials,Major Chemicals
APDN,Applied DNA Sciences,United States,Consumer Discretionary,Other Consumer Services
APEI,American Public Education,United States,Consumer Discretionary,Educational Services
APG,APi Group Corporation,,Consumer Discretionary,Engineering & Construction
APGE,Apogee Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APGN,Apexigen,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APH,Amphenol Corporation,United States,Technology,Electrical Products
APLD,Applied Digital Corporation,United States,Finance,Investment Bankers/Brokers/Service
APLS,Apellis Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,Applied Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APMI,AxonPrime Infrastructure Acquisition Corporation,United States,Finance,Blank Checks
APO,Apollo Global Management (New),,Finance,Investment Managers
APOG,Apogee Enterprises,United States,Consumer Discretionary,Auto Parts:O.E.M.
APP,Applovin Corporation,United States,Technology,EDP Services
APPF,AppFolio,United States,Technology,Computer Software: Prepackaged Software
APPH,AppHarvest,United States,Consumer Staples,Farming/Seeds/Milling
APPN,Appian Corporation,United States,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine,United States,Miscellaneous,Multi-Sector Companies
APRN,Blue Apron Holdings,United States,Consumer Discretionary,Catalog/Specialty Distribution
APT,Alpha Pro Tech Ltd.,Canada,Health Care,Industrial Specialties
APTV,Aptiv,United States,Consumer Discretionary,Automotive Parts & Equipment
APVO,Aptevo Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APYX,Apyx Medical Corporation,United States,Health Care,Medical/Dental Instruments
AQB,AquaBounty Technologies,United States,,
AQMS,Aqua Metals,United States,Industrials,Metal Fabrications
AQST,Aquestive Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AQU,Aquaron Acquisition Corp.,United States,Finance,Blank Checks
AR,Antero Resources Corporation,United States,Energy,Oil & Gas Production
ARAV,Aravive,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARAY,Accurayorporated,United States,Health Care,Medical/Dental Instruments
ARBG,Aequi Acquisition Corp.,United States,Finance,Blank Checks
ARC,ARC Document Solutions,United States,Consumer Discretionary,Business Services
ARCB,ArcBest Corporation,United States,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation,United States,Finance,Finance/Investors Services
ARCH,Arch Resources,United States,Energy,Coal Mining
ARCT,Arcturus Therapeutics Holdings,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
