symbol,security,country,gics_sector,gics_sub_industry,categories
LEG,Leggett & Plattorporated,United States,Consumer Discretionary,Home Furnishings,
LEN,Lennar Corporation,United States,Consumer Discretionary,Homebuilding,"[""1954 establishments in Florida"", ""1970s initial public offerings"", ""American companies established in 1954"", ""Companies based in Miami"", ""Companies listed on the New York Stock Exchange"", ""Construction and civil engineering companies established in 1954"", ""Construction and civil engineering companies of the United States"", ""Home builders"", ""Real estate companies established in 1954"", ""Real estate companies of the United States""]"
LEO,BNY Mellon Strategic Municipals,United States,Finance,Trusts Except Educational Religious and Charitable,
LESL,Leslie's,United States,Miscellaneous,Diversified Commercial Services,
LEU,Centrus Energy Corp.,United States,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),"[""Companies listed on NYSE American"", ""Non-renewable resource companies established in 1992"", ""Companies that filed for Chapter 11 bankruptcy in 2014"", ""Nuclear technology in the United States"", ""Companies based in Bethesda, Maryland"", ""Nuclear fuel companies"", ""Defunct agencies of the United States government""]"
LEVI,Levi Strauss & Co,United States,Consumer Discretionary,Apparel,
LEXX,Lexaria Bioscience Corp.,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,
LFAC,LF Capital Acquisition Corp. II,United States,Finance,Blank Checks,
LFCR,Lifecore Biomedical,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LFLY,Leafly Holdings,United States,Technology,Computer Software: Prepackaged Software,
LFMD,LifeMD,United States,Miscellaneous,Diversified Commercial Services,
LFST,LifeStance Health Group,United States,Health Care,Medical/Nursing Services,
LFT,Lument Finance Trust,United States,Real Estate,Real Estate Investment Trusts,
LFUS,Littelfuse,United States,Energy,Electrical Products,"[""1927 establishments in Illinois"", ""1960s initial public offerings"", ""Companies listed on the Nasdaq"", ""Manufacturing companies based in Chicago"", ""Electronics companies established in 1927"", ""Electrical engineering companies""]"
LGI,Lazard Global Total Return andome Fund,United States,,,
LGIH,LGI Homes,United States,Consumer Discretionary,Homebuilding,"[""Construction and civil engineering companies established in 2003"", ""Construction and civil engineering companies of the United States"", ""Home builders"", ""Companies based in The Woodlands, Texas"", ""Companies listed on the Nasdaq"", ""2003 establishments in Texas""]"
LGL,LGL Group (The),United States,Technology,Industrial Machinery/Components,
LGND,Ligand Pharmaceuticalsorporated,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LGVN,Longeveron,United States,Health Care, Medicinal Chemicals and Botanical Products ,
LH,Laboratory Corporation of America Holdings,United States,Health Care,Medical Specialities,"[""Companies listed on the New York Stock Exchange"", ""Health care companies established in 1978"", ""Health care companies based in North Carolina"", ""Life sciences industry"", ""Burlington, North Carolina"", ""1980s initial public offerings"", ""American companies established in 1978""]"
LHX,L3Harris Technologies,United States,Industrials,Industrial Machinery/Components,"[""L3Harris Technologies| "", ""American companies established in 2019"", ""Electronics companies of the United States"", ""Defense companies of the United States"", ""Multinational companies headquartered in the United States"", ""Companies based in Brevard County, Florida"", ""Manufacturing companies based in Florida"", ""Melbourne, Florida"", ""Electronics companies established in 2019"", ""2019 establishments in Florida"", ""Military equipment of the United States"", ""Companies listed on the New York Stock Exchange"", ""Avionics companies"", ""Security equipment manufacturers""]"
LIBY,Liberty Resources Acquisition Corp.,United States,Finance,Blank Checks,
LIDR,AEye,United States,Consumer Discretionary,Auto Parts:O.E.M.,
LIFE,aTyr Pharma,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"[""Companies based in San Diego"", ""Biotechnology companies of the United States"", ""Pharmaceutical companies of the United States""]"
LIFW,MSP Recovery,United States,Technology,Computer Software: Prepackaged Software,
LII,Lennox International,United States,Industrials,Industrial Machinery/Components,"[""Companies listed on the New York Stock Exchange"", ""Electronics companies established in 1895"", ""Companies based in Richardson, Texas"", ""Heating, ventilation, and air conditioning companies"", ""American companies established in 1895"", ""1895 establishments in Iowa""]"
LILA,Liberty Latin America Ltd.,United States,Telecommunications,Cable & Other Pay Television Services,
LILAK,Liberty Latin America Ltd. Class C,United States,Telecommunications,Cable & Other Pay Television Services,
LIN,Linde plc,United States,Materials,Industrial Gases,"[""Linde plc| "", ""1879 establishments in Germany"", ""Chemical companies established in 1879"", ""Chemical companies of Ireland"", ""Companies in the Euro Stoxx 50"", ""Companies listed on the New York Stock Exchange"", ""Companies listed on the Frankfurt Stock Exchange"", ""Industrial gases"", ""Multinational companies headquartered in the Republic of Ireland"", ""Tax inversions""]"
LINC,Lincoln Educational Services Corporation,United States,Consumer Discretionary,Educational Services,
LIND,Lindblad Expeditions Holdings,United States,Consumer Discretionary,Transportation Services,
LINK,Interlink Electronics,United States,Technology,Industrial Machinery/Components,"[""Computer companies of the United States"", ""1984 establishments in California"", ""Electronics companies established in 1984"", ""Electronics companies of the United States""]"
LIPO,Lipella Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LIQT,LiqTech International,Denmark,Technology,Industrial Machinery/Components,
LITE,Lumentum Holdings,United States,Telecommunications,Telecommunications Equipment,
LIVE,Live Venturesorporated,United States,Consumer Discretionary,Other Specialty Stores,
LIXT,Lixte Biotechnology Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LKFN,Lakeland Financial Corporation,United States,Finance,Major Banks,
LKQ,LKQ Corporation,United States,Consumer Discretionary,Motor Vehicles,"[""Companies listed on the Nasdaq"", ""Companies based in Chicago"", ""Automotive part retailers of the United States"", ""Automotive companies of the United States""]"
LL,LL Flooring Holdings,United States,Consumer Discretionary,RETAIL: Building Materials,
LLAP,Terran Orbital Corporation,United States,Finance,Blank Checks,
LLY,Eli Lilly and Company,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""Eli Lilly and Company| "", ""Companies listed on the New York Stock Exchange"", ""Biotechnology companies of the United States"", ""Manufacturing companies based in Indianapolis"", ""Pharmaceutical companies established in 1876"", ""American companies established in 1876"", ""Technology companies established in 1876"", ""Multinational companies headquartered in the United States"", ""Clinical trial organizations"", ""Companies formerly listed on the Tokyo Stock Exchange"", ""Research and development in the United States"", ""1876 establishments in Indiana"", ""Orphan drug companies"", ""Life sciences industry"", ""Pharmaceutical companies of India""]"
LMAT,LeMaitre Vascular,United States,Health Care,Medical/Dental Instruments,
LMB,Limbach Holdings,United States,Consumer Discretionary,Engineering & Construction,
LMFA,LM Funding America,United States,Finance,Finance: Consumer Services,
LMND,Lemonade,United States,Finance,Property-Casualty Insurers,"[""Financial services companies established in 2015"", ""Internet properties established in 2015"", ""Insurance companies based in New York City"", ""American companies established in 2015"", ""Online insurance companies"", ""Property insurance"", ""Public benefit corporations based in the United States"", ""2015 establishments in New York City"", ""2020 initial public offerings"", ""Companies listed on the New York Stock Exchange"", ""B Lab-certified corporations""]"
LMNR,Limoneira Co,United States,Consumer Staples,Farming/Seeds/Milling,"[""Food and drink companies established in 1893"", ""Companies based in California"", ""Agriculture companies of the United States"", ""Real estate companies established in 1893"", ""1893 establishments in California""]"
LMT,Lockheed Martin Corporation,United States,Industrials,Military/Government/Technical,"[""Aerospace companies of the United States"", ""Aircraft manufacturers of the United States"", ""American companies established in 1995"", ""Defense companies of the United States"", ""Companies based in Bethesda, Maryland"", ""Companies listed on the New York Stock Exchange"", ""Collier Trophy recipients"", ""Commercial Lunar Payload Services"", ""Lockheed Martin| "", ""Manufacturing companies based in Maryland"", ""Manufacturing companies established in 1995"", ""Technology companies established in 1995"", ""Unmanned aerial vehicle manufacturers""]"
LNC,Lincoln National Corporation,United States,Finance,Life Insurance,"[""1905 establishments in Indiana"", ""Companies based in Delaware County, Pennsylvania"", ""Companies listed on the New York Stock Exchange"", ""Financial services companies established in 1905|Lincoln Financial Group"", ""Insurance companies of the United States"", ""Life insurance companies of the United States"", ""Radnor Township, Delaware County, Pennsylvania""]"
LNG,Cheniere Energy,United States,Utilities,Oil/Gas Transmission,"[""Companies based in Houston"", ""Natural gas companies of the United States"", ""Companies listed on NYSE American""]"
LNKB,LINKBANCORP,United States,,,
LNN,Lindsay Corporation,United States,Industrials,Industrial Machinery/Components,"[""Companies based in Omaha, Nebraska"", ""Manufacturing companies based in Nebraska"", ""Manufacturing companies established in 1955"", ""Companies listed on the New York Stock Exchange"", ""Irrigation in the United States"", ""Superfund sites in Nebraska"", ""1955 establishments in Nebraska"", ""Irrigation companies""]"
LNSR,LENSAR,United States,Health Care,Medical Electronics,
LNT,Alliant Energy Corporation,United States,Utilities,Power Generation,"[""Alliant Energy| "", ""Electric power companies of the United States"", ""Natural gas companies of the United States"", ""Nuclear power companies of the United States"", ""Energy companies established in 1981"", ""Non-renewable resource companies established in 1981"", ""1981 establishments in Wisconsin"", ""Companies based in Madison, Wisconsin"", ""Companies listed on the Nasdaq"", ""Companies formerly listed on the New York Stock Exchange""]"
LNTH,Lantheus Holdings,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
LNW,Light & Wonder,United States,Technology,EDP Services,
LNZA,LanzaTech Global,United States,Industrials,Major Chemicals,
LOB,Live Oak Bancshares,United States,Finance,Major Banks,"[""Banks based in North Carolina"", ""Companies based in Wilmington, North Carolina"", ""2008 establishments in North Carolina"", ""Companies listed on the Nasdaq"", ""Banks established in 2008"", ""2015 initial public offerings""]"
LOCC,Live Oak Crestview Climate Acquisition Corp.,,Finance,Blank Checks,
LOCL,Local Bounti Corporation,,Consumer Staples,Farming/Seeds/Milling,
LOCO,El Pollo Loco Holdings,United States,Consumer Discretionary,Restaurants,
LODE,Comstock,United States,Finance,Real Estate,
LOOP,Loop Industries,Canada,,,
LOPE,Grand Canyon Education,United States,Consumer Discretionary,Educational Services,
LOVE,The Lovesac Company,United States,,,"[""Furniture retailers of the United States"", ""Retail companies established in 1995"", ""1995 establishments in Utah"", ""Companies based in Stamford, Connecticut"", ""Companies that filed for Chapter 11 bankruptcy in 2006"", ""2018 initial public offerings"", ""Companies listed on the Nasdaq""]"
LOW,Lowe's Companies,United States,Consumer Discretionary,RETAIL: Building Materials,"[""Lowe's| "", ""Companies listed on the New York Stock Exchange"", ""Companies based in Charlotte, North Carolina"", ""Iredell County, North Carolina"", ""American companies established in 1921"", ""Retail companies established in 1921"", ""Hardware stores of the United States"", ""Hardware stores of Canada"", ""Home improvement retailers of the United States"", ""1921 establishments in North Carolina"", ""Hardware stores of Mexico"", ""1970s initial public offerings"", ""Garden centres""]"
LPCN,Lipocine,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LPG,Dorian LPG Ltd.,United States,Consumer Discretionary,Marine Transportation,
LPLA,LPL Financial Holdings,United States,Finance,Investment Bankers/Brokers/Service,"[""Financial services companies of the United States"", ""Companies based in San Diego"", ""Companies listed on the Nasdaq"", ""Brokerage firms""]"
LPRO,Open Lending Corporation,United States,Finance,Finance: Consumer Services,
LPSN,LivePerson,United States,Technology,Computer Software: Prepackaged Software,"[""Software companies based in New York City"", ""Online companies of the United States"", ""Web analytics"", ""Cloud applications"", ""2000 initial public offerings"", ""Instant messaging"", ""Software companies of the United States"", ""1995 establishments in New York City"", ""Software companies established in 1995"", ""Companies listed on the New York Stock Exchange"", ""Companies listed on the Tel Aviv Stock Exchange"", ""Publicly traded companies based in New York City""]"
LPTH,LightPath Technologies,United States,Technology,Semiconductors,
LPTV,Loop Media,,Industrials,Broadcasting,
LPTX,Leap Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
LPX,Louisiana-Pacific Corporation,United States,Basic Materials,Forest Products,"[""Manufacturing companies based in Nashville, Tennessee"", ""Manufacturing companies established in 1973"", ""American companies established in 1973"", ""1973 establishments in Oregon"", ""Portland Timbers"", ""Superfund sites in California"", ""Companies listed on the New York Stock Exchange"", ""Corporate spin-offs"", ""Building materials companies of the United States""]"
LQDA,Liquidia Corporation,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
LQDT,Liquidity Services,United States,Consumer Discretionary,Business Services,"[""Companies based in Washington, D.C."", ""Logistics companies of the United States"", ""Transportation companies based in Washington, D.C.""]"
LRCX,Lam Research Corporation,United States,Technology,Industrial Machinery/Components,"[""Companies based in Fremont, California"", ""Electronics companies established in 1980"", ""1980 establishments in California"", ""Equipment semiconductor companies"", ""Technology companies based in the San Francisco Bay Area"", ""1980s initial public offerings"", ""Venture capital firms of the United States""]"
LRFC,Logan Ridge Finance Corporation,United States,Finance,Finance Companies,
LRMR,Larimar Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LRN,Stride,United States,Consumer Discretionary,Educational Services,"[""Companies listed on the New York Stock Exchange"", ""Companies based in Fairfax County, Virginia"", ""Curricula"", ""Education companies of the United States"", ""American educational websites"", ""Education management organizations"", ""Education companies established in 2000"", ""American companies established in 2000"", ""2000 establishments in Virginia"", ""Charter management organizations"", ""2007 initial public offerings""]"
LSAK,Lesaka Technologies,South Africa,Finance,Investment Bankers/Brokers/Service,"[""Financial technology companies"", ""Technology companies of South Africa"", ""Finance in South Africa"", ""Companies based in Johannesburg"", ""Companies listed on the Johannesburg Stock Exchange""]"
LSBK,Lake Shore Bancorp,United States,Finance,Savings Institutions,
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,"[""Fabless semiconductor companies"", ""Electronic design automation companies"", ""Semiconductor companies of the United States"", ""Manufacturing companies based in Oregon"", ""Electronics companies established in 1983"", ""1983 establishments in Oregon"", ""Companies listed on the Nasdaq"", ""1980s initial public offerings"", ""Companies based in Portland, Oregon"", ""Companies based in Hillsboro, Oregon""]"
LSDI,Lucy Scientific Discovery,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,
LSEA,Landsea Homes Corporation,United States,Consumer Discretionary,Homebuilding,
LSF,Laird Superfood,,Consumer Staples,Packaged Foods,
LSTA,Lisata Therapeutics,United States,Health Care,Misc Health and Biotechnology Services,
LSTR,Landstar System,United States,Industrials,Trucking Freight/Courier Services,"[""Logistics companies of the United States"", ""Companies in the Dow Jones Transportation Average"", ""Transport companies established in 1968"", ""Companies based in Jacksonville, Florida"", ""Trucking companies of the United States"", ""Companies listed on the Nasdaq"", ""Transportation companies based in Florida"", ""Publicly traded companies based in Jacksonville, Florida"", ""Multinational companies based in Jacksonville""]"
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM,United States,Industrials,Broadcasting,
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM,United States,Industrials,Broadcasting,
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM,United States,Industrials,Broadcasting,
LTBR,Lightbridge Corporation,United States,Consumer Discretionary,Business Services,
LTC,LTC Properties,United States,Real Estate,Real Estate Investment Trusts,
LTCH,Latch,United States,Technology,EDP Services,
LTH,Life Time Group Holdings,United States,Consumer Discretionary,Hotels/Resorts,
LTHM,Livent Corporation,United States,Industrials,Major Chemicals,
LTRN,Lantern Pharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LTRPA,Liberty TripAdvisor Holdings Series A,United States,Technology,EDP Services,
LTRPB,Liberty TripAdvisor Holdings Series B,United States,Technology,EDP Services,
LTRX,Lantronix,United States,Telecommunications,Telecommunications Equipment,
LTRY,Lottery.com,United States,Technology,Computer Software: Prepackaged Software,
LUCD,Lucid Diagnostics,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
LUCY,Innovative Eyewear,United States,Health Care,Ophthalmic Goods,"[""EssilorLuxottica| "", ""Medical technology companies of France"", ""Companies listed on Euronext Paris"", ""Companies in the Euro Stoxx 50"", ""CAC 40"", ""Multinational companies headquartered in France"", ""Manufacturing companies established in 2018"", ""Eyewear companies of France"", ""Eyewear retailers of France"", ""French brands"", ""Lens manufacturers"", ""Optics manufacturing companies"", ""French companies established in 2018"", ""Manufacturing companies based in Paris""]"
LULU,lululemon athletica inc.,Canada,Consumer Discretionary,Apparel,"[""Lululemon Athletica| "", ""1998 establishments in British Columbia"", ""2007 initial public offerings"", ""1990s fashion"", ""2000s fashion"", ""2010s fashion"", ""2020s fashion"", ""Canadian companies established in 1998"", ""Clothing brands of Canada"", ""Clothing companies established in 1998"", ""Clothing retailers of Canada"", ""Companies based in Vancouver"", ""Companies formerly listed on the Toronto Stock Exchange"", ""Exercise equipment companies"", ""Multinational companies headquartered in Canada"", ""Retail companies established in 1998"", ""Sportswear brands"", ""Underwear brands"", ""Yoga merchandise""]"
LUMN,Lumen Technologies,United States,Telecommunications,Telecommunications Equipment,"[""Lumen Technologies| "", ""1930 establishments in Tennessee"", ""American companies established in 1930"", ""Cloud computing providers"", ""Cloud infrastructure"", ""Companies based in Louisiana"", ""Companies listed on the New York Stock Exchange"", ""Internet service providers of the United States"", ""Monroe, Louisiana"", ""Pay telephone operators of the United States"", ""Telecommunications companies established in 1930"", ""Telecommunications companies of the United States"", ""Tier 1 networks""]"
LUMO,Lumos Pharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LUNA,Luna Innovationsorporated,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,
LUNG,Pulmonx Corporation,United States,Health Care,Industrial Specialties,
LUNR,Intuitive Machines,United States,Industrials,Industrial Machinery/Components,"[""2013 establishments in Texas"", ""Aerospace companies of the United States"", ""American companies established in 2013"", ""Manufacturing companies based in Houston"", ""Publicly traded companies of the United States"", ""Technology companies established in 2013"", ""Transportation companies based in Texas""]"
LUV,Southwest Airlines Company,United States,Consumer Discretionary,Air Freight/Delivery Services,"[""Southwest Airlines| "", ""1967 establishments in Texas"", ""Airlines based in Texas"", ""Airlines established in 1967"", ""Airlines for America members"", ""American companies established in 1967"", ""Companies based in Dallas"", ""Companies in the Dow Jones Transportation Average"", ""Companies listed on the New York Stock Exchange"", ""Low-cost carriers""]"
LUXH,LuxUrban Hotels,United States,Finance,Real Estate,
LVLU,Lulu's Fashion Lounge Holdings,United States,Consumer Discretionary,Catalog/Specialty Distribution,
LVO,LiveOne,United States,Consumer Discretionary,Restaurants,
LVOX,LiveVox Holdings,United States,Technology,EDP Services,
LVS,Las Vegas Sands Corp.,United States,Consumer Discretionary,Hotels/Resorts,"[""Gambling companies of the United States"", ""Hospitality companies of the United States"", ""Companies based in Paradise, Nevada"", ""Hospitality companies established in 1988"", ""Gambling companies established in 1988"", ""American companies established in 1988"", ""1988 establishments in Nevada"", ""Companies listed on the New York Stock Exchange"", ""2004 initial public offerings"", ""Sheldon Adelson""]"
LVWR,LiveWire Group,,,,"[""Electric motorcycles"", ""Harley-Davidson"", ""Motorcycle manufacturers of the United States"", ""Motor vehicle manufacturers based in Wisconsin"", ""Motor vehicle manufacturers based in California"", ""Companies listed on the New York Stock Exchange"", ""Special-purpose acquisition companies""]"
LW,Lamb Weston,United States,Consumer Staples,Packaged Foods & Meats,"[""Corporate spin-offs"", ""Companies listed on the New York Stock Exchange"", ""Food and drink companies established in 1950"", ""Food and drink companies based in Idaho"", ""1950 establishments in Idaho"", ""Companies based in Boise, Idaho"", ""1988 mergers and acquisitions""]"
LWAY,Lifeway Foods,United States,Consumer Staples,Packaged Foods,"[""Companies based in Cook County, Illinois"", ""Fermented dairy products"", ""Food and drink companies of the United States""]"
LWLG,Lightwave Logic,United States,Industrials,Plastic Products,
LXRX,Lexicon Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""Pharmaceutical companies established in 1995"", ""Pharmaceutical companies of the United States"", ""Companies based in The Woodlands, Texas"", ""Companies listed on the Nasdaq"", ""Health care companies based in Texas"", ""2000 initial public offerings"", ""Biopharmaceutical companies""]"
LXU,LSB Industries,United States,Industrials,Major Chemicals,
LYB,LyondellBasell,United States,Materials,Specialty Chemicals,"[""Companies listed on the New York Stock Exchange"", ""Chemical companies of the Netherlands"", ""Chemical companies of the United States"", ""Manufacturing companies based in Houston"", ""Manufacturing companies based in Rotterdam"", ""Companies that filed for Chapter 11 bankruptcy in 2009"", ""Manufacturing companies established in 2007"", ""Multinational companies headquartered in the Netherlands"", ""2010 initial public offerings""]"
LYEL,Lyell Immunopharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
LYFT,Lyft,United States,Consumer Discretionary,Business Services,"[""Lyft| "", ""Transport companies established in 2012"", ""2012 establishments in California"", ""2019 initial public offerings"", ""Android (operating system) software"", ""Companies based in San Francisco"", ""Companies listed on the Nasdaq"", ""IOS software"", ""Location-based software"", ""Ridesharing companies of the United States""]"
LYRA,Lyra Therapeutics,United States,Health Care,Medical/Dental Instruments,
LYTS,LSI Industries,United States,Consumer Discretionary,Building Products,
LYV,Live Nation Entertainment,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,"[""Live Nation Entertainment| "", ""Ticket sales companies"", ""Online retailers of the United States"", ""Electronic music event management companies"", ""Festival organizations"", ""Sports management companies"", ""Music festival organizations"", ""Entertainment companies based in California"", ""Entertainment companies established in 2010"", ""2010 establishments in California"", ""American companies established in 2010"", ""Companies based in Beverly Hills, California"", ""Companies listed on the New York Stock Exchange"", ""Corporate spin-offs"", ""Music promoters""]"
LZ,LegalZoom.com,United States,Technology,EDP Services,
LZB,La-Z-Boyorporated,United States,Consumer Discretionary,Home Furnishings,
M,Macy's,United States,Consumer Discretionary,Department/Specialty Retail Stores,
MA,Mastercardorporated,United States,Consumer Discretionary,Business Services,
MAA,Mid-America Apartment Communities,United States,Real Estate,Real Estate Investment Trusts,"[""Real estate companies established in 1977"", ""1977 establishments in Tennessee"", ""Companies based in Memphis, Tennessee"", ""Companies listed on the New York Stock Exchange"", ""Real estate investment trusts of the United States"", ""1994 initial public offerings""]"
MAC,Macerich Company (The),United States,Real Estate,Real Estate Investment Trusts,"[""Macerich| "", ""Companies listed on the New York Stock Exchange"", ""Shopping center management firms"", ""Companies based in Santa Monica, California"", ""Real estate investment trusts of the United States"", ""Real estate companies established in 1964"", ""American companies established in 1964"", ""1964 establishments in New York (state)"", ""1994 initial public offerings""]"
MACK,Merrimack Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""Pharmaceutical companies of the United States"", ""Life sciences industry"", ""Health care companies based in Massachusetts"", ""Pharmaceutical companies established in 2000"", ""Companies based in Cambridge, Massachusetts"", ""2000 establishments in Massachusetts"", ""Companies listed on the Nasdaq"", ""2012 initial public offerings""]"
MAIA,MAIA Biotechnology,,Health Care,Biotechnology: Pharmaceutical Preparations,
MAIN,Main Street Capital Corporation,United States,Finance,Finance/Investors Services,
MAN,ManpowerGroup,United States,Consumer Discretionary,Professional Services,"[""Companies based in Milwaukee"", ""Companies listed on the New York Stock Exchange"", ""Business services companies established in 1948"", ""Management consulting firms of the United States"", ""Actuarial firms"", ""Human resource management consulting firms"", ""Temporary employment agencies"", ""Employment agencies of the United States"", ""Multinational companies headquartered in the United States"", ""1948 establishments in Wisconsin"", ""1960s initial public offerings""]"
MANH,Manhattan Associates,United States,Technology,Computer Software: Prepackaged Software,
MAQC,Maquia Capital Acquisition Corporation,United States,Finance,Blank Checks,
MAR,Marriott International,United States,Consumer Discretionary,Hotels/Resorts,"[""Marriott International| "", ""1927 establishments in Washington, D.C."", ""American companies established in 1927"", ""Companies based in Bethesda, Maryland"", ""Companies listed on the Nasdaq"", ""Companies formerly listed on the New York Stock Exchange"", ""Hospitality companies"", ""Hospitality companies established in 1927"", ""Hospitality companies of the United States"", ""Family-owned companies of the United States""]"
MARA,Marathon Digital Holdings,United States,Technology,EDP Services,"[""Companies listed on the Nasdaq"", ""Patent monetization companies of the United States""]"
MARK,Remark Holdings,United States,Consumer Discretionary,Telecommunications Equipment,
MAS,Masco Corporation,United States,Consumer Discretionary,Building Products,"[""Companies listed on the New York Stock Exchange"", ""Manufacturing companies based in Michigan"", ""Companies based in Wayne County, Michigan"", ""Manufacturing companies established in 1929"", ""Private equity portfolio companies"", ""1929 establishments in Michigan"", ""Plymouth Township, Michigan"", ""1960s initial public offerings""]"
MASI,Masimo Corporation,United States,Health Care,Medical/Dental Instruments,"[""Companies listed on the Nasdaq"", ""Medical device manufacturers"", ""Companies based in Irvine, California"", ""Medical technology companies of the United States"", ""Health care companies based in California"", ""Manufacturing companies based in Greater Los Angeles"", ""Manufacturing companies established in 1989"", ""Health care companies established in 1989"", ""2007 initial public offerings"", ""1989 establishments in the United States"", ""1989 establishments in California"", ""Companies established in 1989""]"
MASS,908 Devices,United States,Health Care,Medical/Dental Instruments,
MAT,Mattel,United States,Consumer Discretionary,Recreational Games/Products/Toys,"[""Mattel"", ""1945 establishments in California"", ""1960s initial public offerings"", ""American companies established in 1945"", ""Card game publishing companies"", ""Companies based in El Segundo, California"", ""Companies formerly listed on the New York Stock Exchange"", ""Companies listed on the Nasdaq"", ""Corporate scandals"", ""Doll manufacturing companies"", ""Game manufacturers"", ""Manufacturing companies based in Greater Los Angeles"", ""Multinational companies headquartered in the United States"", ""Toy brands"", ""Toy companies established in 1945"", ""Toy companies of the United States""]"
MATV,Mativ Holdings,United States,Basic Materials,Paper,
MATW,Matthews International Corporation,United States,Telecommunications,Metal Fabrications,
MATX,Matson,United States,Consumer Discretionary,Marine Transportation,"[""Shipping companies of the United States"", ""Ferry companies of Hawaii"", ""Transportation companies based in California"", ""Water transportation in Hawaii"", ""Companies based in Honolulu"", ""Companies based in Oakland, California"", ""Transport companies established in 1882"", ""1882 establishments in California"", ""Corporate spin-offs"", ""2012 establishments in Hawaii"", ""Dole plc"", ""Companies in the Dow Jones Transportation Average"", ""Companies listed on the New York Stock Exchange"", ""Container shipping companies of the United States"", ""Container shipping companies""]"
MAX,MediaAlpha,,Industrials,Industrial Machinery/Components,
MAYS,J. W. Mays,United States,Real Estate,Building operators,"[""Companies based in New York City"", ""Defunct department stores based in New York City"", ""Retail companies disestablished in 1988"", ""Companies that have filed for Chapter 11 bankruptcy"", ""Companies that filed for Chapter 11 bankruptcy in 1982"", ""Companies listed on the Nasdaq"", ""Real estate companies established in 1989"", ""Retail companies established in 1927"", ""1927 establishments in New York (state)""]"
MBAC,M3-Brigade Acquisition II Corp.,,Consumer Discretionary,Telecommunications Equipment,
MBC,MasterBrand,United States,Industrials,Agricultural Chemicals,
MBCN,Middlefield Banc Corp.,United States,Finance,Major Banks,
MBI,MBIA,United States,Finance,Property-Casualty Insurers,"[""Companies listed on the New York Stock Exchange"", ""Insurance companies of the United States"", ""Companies based in New York City"", ""Financial services companies established in 1973"", ""1973 establishments in New York (state)"", ""Financial services companies based in New York (state)"", ""American companies established in 1973""]"
MBIN,Merchants Bancorp,United States,Finance,Major Banks,
MBIO,Mustang Bio,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""Companies based in Massachusetts"", ""Pharmaceutical companies established in 2015"", ""2015 establishments in Massachusetts"", ""Biopharmaceutical companies""]"
MBLY,Mobileye Global,Israel,Technology,Computer Software: Prepackaged Software,"[""Vehicle safety technologies"", ""Automotive electronics"", ""Automotive technology tradenames"", ""Israeli brands"", ""Commercial computer vision systems"", ""Applications of artificial intelligence"", ""Software companies of Israel"", ""Software companies established in 1999"", ""Intelligent transportation systems"", ""Warning systems"", ""Companies based in Jerusalem"", ""Companies formerly listed on the New York Stock Exchange"", ""Companies listed on the Nasdaq"", ""Intel acquisitions"", ""Mergers and acquisitions of Israeli companies"", ""Israeli inventions"", ""2017 mergers and acquisitions"", ""1999 establishments in Israel"", ""2014 initial public offerings"", ""2022 initial public offerings""]"
MBOT,Microbot Medical,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
MBRX,Moleculin Biotech,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
MBSC,M3-Brigade Acquisition III Corp.,,Finance,Blank Checks,
MBUU,Malibu Boats,United States,Industrials,Marine Transportation,"[""American boat builders"", ""Loudon County, Tennessee"", ""Manufacturing companies established in 1982"", ""Manufacturing companies based in Tennessee"", ""1982 establishments in California"", ""Water sports equipment manufacturers"", ""Sporting goods manufacturers of the United States""]"
MBWM,Mercantile Bank Corporation,United States,Finance,Major Banks,
MC,Moelis & Company,United States,Finance,Investment Managers,
