symbol,security,country,gics_sector,gics_sub_industry,categories
COO,The Cooper Companies,United States,Health Care,Ophthalmic Goods,"[""Companies listed on the New York Stock Exchange"", ""American companies established in 1958"", ""Health care companies established in 1958"", ""1958 establishments in California"", ""Health care companies based in California"", ""Companies based in San Ramon, California"", ""Medical technology companies of the United States"", ""Medical device manufacturers""]"
COOK,Traeger,United States,Consumer Discretionary,Wholesale Distributors,
COOP,Mr. Cooper Group,United States,Finance,Finance: Consumer Services,"[""Financial services companies of the United States"", ""Mortgage lenders of the United States""]"
COP,ConocoPhillips,United States,Energy,Integrated oil Companies,"[""ConocoPhillips| "", ""2002 establishments in Texas"", ""Chemical companies of the United States"", ""Companies listed on the New York Stock Exchange"", ""Companies based in Houston"", ""Multinational oil companies"", ""Multinational companies headquartered in the United States"", ""Oil companies of the United States"", ""Non-renewable resource companies established in 2002""]"
CORR,CorEnergy Infrastructure Trust,United States,Real Estate,Real Estate Investment Trusts,
CORT,Corcept Therapeuticsorporated,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
COSM,Cosmos Health,United States,Health Care,Other Pharmaceuticals,
COST,Costco Wholesale Corporation,United States,Consumer Discretionary,Department/Specialty Retail Stores,
COTY,Coty,United States,Consumer Discretionary,Package Goods/Cosmetics,"[""Coty Inc.| "", ""1904 establishments in France"", ""2013 initial public offerings"", ""Chemical companies established in 1904"", ""Companies listed on the New York Stock Exchange"", ""Cosmetics companies of France"", ""Cosmetics companies of the United States"", ""History of cosmetics"", ""Manufacturing companies based in New York City"", ""Perfume houses"", ""Personal care brands""]"
COUR,Coursera,United States,Technology,Computer Software: Prepackaged Software,"[""American educational websites"", ""Companies listed on the New York Stock Exchange"", ""Companies based in Mountain View, California"", ""Education companies established in 2012"", ""Educational technology companies of the United States"", ""Open educational resources"", ""Software companies based in the San Francisco Bay Area"", ""Software companies of the United States"", ""Software companies established in 2012"", ""American companies established in 2012"", ""2012 establishments in California"", ""2021 initial public offerings""]"
COYA,Coya Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
